
***************************************************************************
                         EOV koordinátajegyzék
***************************************************************************

P.szám                   Y             X           h                kód       dátum        idõ

G41                  650133.904   238538.077     113.955        --------   2018.10.11   15:40:26
G42                  650133.903   238538.078     113.954        --------   2018.10.11   15:40:27
G43                  650133.904   238538.077     113.959        --------   2018.10.11   15:40:28
G44                  650133.902   238538.076     113.955        --------   2018.10.11   15:40:29
G45                  650133.903   238538.077     113.949        --------   2018.10.11   15:40:30
G46                  650133.904   238538.077     113.949        --------   2018.10.11   15:40:31
G47                  650133.906   238538.075     113.954        --------   2018.10.11   15:40:32
G48                  650133.902   238538.081     113.949        --------   2018.10.11   15:40:33
G49                  650133.899   238538.079     113.946        --------   2018.10.11   15:40:34
G50                  650133.901   238538.078     113.950        --------   2018.10.11   15:40:35
G51                  650133.902   238538.078     113.945        --------   2018.10.11   15:40:36
G52                  650133.901   238538.078     113.944        --------   2018.10.11   15:40:37
G53                  650133.901   238538.080     113.943        --------   2018.10.11   15:40:38
G54                  650133.900   238538.081     113.949        --------   2018.10.11   15:40:39
G55                  650133.904   238538.078     113.949        --------   2018.10.11   15:40:40
G56                  650133.903   238538.081     113.947        --------   2018.10.11   15:40:41
G57                  650133.903   238538.079     113.945        --------   2018.10.11   15:40:42
G58                  650133.901   238538.080     113.945        --------   2018.10.11   15:40:43
G59                  650133.902   238538.078     113.940        --------   2018.10.11   15:40:44
G60                  650133.903   238538.078     113.936        --------   2018.10.11   15:40:45
G61                  650133.903   238538.076     113.938        --------   2018.10.11   15:40:46
G62                  650133.906   238538.080     113.938        --------   2018.10.11   15:40:47
G63                  650133.905   238538.079     113.931        --------   2018.10.11   15:40:48
G64                  650133.906   238538.074     113.921        --------   2018.10.11   15:40:49
G65                  650133.906   238538.078     113.929        --------   2018.10.11   15:40:50
G66                  650133.908   238538.080     113.925        --------   2018.10.11   15:40:51
G67                  650133.906   238538.076     113.933        --------   2018.10.11   15:40:52
G68                  650133.906   238538.076     113.938        --------   2018.10.11   15:40:53
G69                  650133.905   238538.077     113.936        --------   2018.10.11   15:40:54
G70                  650133.905   238538.081     113.941        --------   2018.10.11   15:40:55
G71                  650133.904   238538.079     113.945        --------   2018.10.11   15:40:56
G72                  650133.905   238538.076     113.944        --------   2018.10.11   15:40:57
G73                  650133.905   238538.075     113.942        --------   2018.10.11   15:40:58
G74                  650133.904   238538.073     113.936        --------   2018.10.11   15:40:59
G75                  650133.904   238538.071     113.941        --------   2018.10.11   15:41:00
G76                  650133.905   238538.075     113.939        --------   2018.10.11   15:41:01
G77                  650133.905   238538.074     113.946        --------   2018.10.11   15:41:02
G78                  650133.905   238538.075     113.947        --------   2018.10.11   15:41:03
G79                  650133.904   238538.076     113.939        --------   2018.10.11   15:41:04
G80                  650133.903   238538.074     113.940        --------   2018.10.11   15:41:05
G81                  650133.904   238538.073     113.937        --------   2018.10.11   15:41:06
4                    650133.903   238538.075     113.930        --------   2018.10.11   15:41:07
5                    650133.903   238538.078     113.923        --------   2018.10.11   15:41:08
6                    650133.903   238538.077     113.918        --------   2018.10.11   15:41:09
7                    650133.904   238538.080     113.909        --------   2018.10.11   15:41:10
